1676701385423353600,0.02018,0.00356,0.02965,0.62597,-0.37658,0.57180,0.37335,0.08776,-0.00940,0.09774,
1676701385473083648,0.02467,0.00224,0.03285,0.62140,-0.38308,0.56858,0.37924,0.08262,-0.02223,0.08040,
1676701385522740992,0.03287,-0.00415,0.03642,0.64208,-0.34953,0.58621,0.34917,0.09297,-0.04611,0.06047,
1676701385622274816,0.04029,-0.02287,0.04146,0.67441,-0.28376,0.61882,0.28586,0.07886,-0.09916,0.02089,
1676701385721487360,0.04029,-0.04639,0.04267,0.69813,-0.22853,0.63816,0.23054,0.03833,-0.13122,0.00941,
1676701385821078528,0.04519,-0.05877,0.04345,0.68960,-0.23635,0.64474,0.23000,0.07852,-0.11963,0.03936,
1676701385920278784,0.05074,-0.06988,0.04871,0.69416,-0.25486,0.63220,0.23130,0.07626,-0.10884,0.10293,
1676701386018075136,0.06386,-0.07193,0.05829,0.68848,-0.27939,0.62257,0.24566,0.08723,-0.10682,0.07901,
1676701386117388800,0.07367,-0.08264,0.06580,0.69205,-0.28125,0.62073,0.23803,0.10861,-0.09470,0.09324,
1676701386216831744,0.08758,-0.09072,0.07476,0.69583,-0.27651,0.61795,0.23978,0.12751,-0.04208,0.07041,
1676701386318090752,0.11104,-0.07845,0.08275,0.67270,-0.32542,0.60072,0.28410,0.14847,0.00909,0.05184,
1676701386415696640,0.13966,-0.04656,0.09159,0.62451,-0.40425,0.56362,0.35903,0.16565,0.06010,0.04304,
1676701386515036160,0.15312,-0.05012,0.09670,0.62266,-0.40802,0.56216,0.36027,0.16760,0.04377,0.03125,
1676701386614420736,0.15412,-0.07886,0.10014,0.66126,-0.34998,0.58897,0.30556,0.13338,0.01080,0.02037,
1676701386713849856,0.17367,-0.05546,0.10409,0.62830,-0.40708,0.55762,0.35861,0.08750,0.05309,0.01138,
1676701386813242880,0.18340,-0.04125,0.10579,0.59606,-0.44481,0.53170,0.40515,0.06582,0.05494,0.04636,
1676701386914329088,0.18940,-0.05979,0.10895,0.62555,-0.40365,0.55221,0.37527,0.06743,0.03693,0.03729,
1676701387013837824,0.19519,-0.06219,0.11287,0.62154,-0.40288,0.55087,0.38459,0.05057,0.01772,0.02510,
1676701387113194240,0.19918,-0.05685,0.11504,0.60271,-0.42934,0.53292,0.41036,0.02468,0.01618,0.01366,
1676701387210908672,0.20238,-0.05290,0.11427,0.58219,-0.44908,0.52038,0.43426,-0.00452,0.01229,0.00697,
1676701387359965952,0.20159,-0.04385,0.11309,0.54119,-0.48817,0.49253,0.47562,-0.01587,0.00589,0.00007,
1676701387459360000,0.20248,-0.03963,0.11323,0.52338,-0.51023,0.47205,0.49286,-0.00699,0.00556,0.01859,
1676701387509082624,0.20163,-0.03766,0.11529,0.51910,-0.51744,0.46354,0.49791,-0.00711,0.01125,0.02580,
1676701387610162944,0.19941,-0.03445,0.11736,0.50902,-0.52698,0.44989,0.51067,-0.01134,0.02284,0.01860,
1676701387759284480,0.19668,-0.03280,0.11882,0.50744,-0.52717,0.44778,0.51390,-0.00701,0.02078,0.00371,
1676701387809029632,0.19825,-0.03288,0.11905,0.51139,-0.52433,0.45033,0.51065,-0.00256,0.02165,0.00341,
