1676701386515036160,0.13909,-0.07972,0.09782,0.66619,-0.33173,0.60103,0.29139,
1676701386614420736,0.16279,-0.05995,0.10287,0.63621,-0.39330,0.56773,0.34386,
1676701386713849856,0.17609,-0.04685,0.10309,0.61436,-0.42861,0.54258,0.38009,
1676701386813242880,0.18234,-0.06377,0.10463,0.63059,-0.39174,0.56813,0.35514,
1676701386914329088,0.18919,-0.06451,0.10952,0.63172,-0.39185,0.56001,0.36574,
1676701387013837824,0.19528,-0.05790,0.11290,0.60945,-0.41830,0.54142,0.40058,
1676701387113194240,0.20084,-0.05388,0.11330,0.58966,-0.44200,0.52427,0.42671,
1676701387210908672,0.20082,-0.04761,0.11305,0.55365,-0.48042,0.49630,0.46514,
1676701387359965952,0.20119,-0.04391,0.11219,0.53003,-0.50190,0.48038,0.48621,
1676701387459360000,0.19953,-0.04183,0.11364,0.51976,-0.51529,0.46813,0.49516,
1676701387610162944,0.19621,-0.03959,0.11684,0.51392,-0.52209,0.45423,0.50694,
1676701387759284480,0.19631,-0.03880,0.11860,0.51186,-0.52349,0.45088,0.51055,
1676701388006125824,0.19432,-0.03243,0.11767,-0.49928,0.53185,-0.44418,-0.52016,
1676701388204851200,0.19433,-0.02848,0.11729,-0.48250,0.54278,-0.43734,-0.53039,
1676701388405411072,0.19543,-0.02514,0.11734,-0.47328,0.55394,-0.42484,-0.53727,
1676701388504818432,0.19019,-0.02493,0.11707,-0.47215,0.55479,-0.42444,-0.53771,
1676701388653896448,0.18349,-0.02598,0.11661,-0.46011,0.55589,-0.42497,-0.54652,
1676701388802708736,0.17761,-0.02794,0.11850,-0.45253,0.56101,-0.41461,-0.55550,
1676701388901736192,0.17155,-0.02993,0.11973,-0.44980,0.56312,-0.40800,-0.56045,
1676701389001810432,0.16807,-0.03204,0.12044,0.44754,-0.56417,0.40388,0.56418,
1676701389101215488,0.15704,-0.03543,0.11876,0.44399,-0.56676,0.40019,0.56701,
1676701389200582656,0.16282,-0.03662,0.12240,0.44222,-0.56813,0.39717,0.56915,
1676701389299996672,0.16115,-0.03925,0.12353,0.44025,-0.56953,0.39420,0.57133,
1676701389399531520,0.15806,-0.04189,0.12334,0.43656,-0.57273,0.38968,0.57406,
1676701389498790144,0.15905,-0.04458,0.12338,0.43180,-0.57610,0.38436,0.57786,
1676701389647937792,0.15598,-0.04922,0.12281,-0.42488,0.58234,-0.37582,-0.58233,
1676701389796859136,0.15194,-0.05366,0.12313,-0.41690,0.58967,-0.36390,-0.58827,
1676701389896518912,0.15048,-0.05588,0.12319,-0.41337,0.59257,-0.35911,-0.59078,
1676701390045660928,0.14658,-0.05874,0.12310,-0.40858,0.59782,-0.35029,-0.59412,
1676701390194658304,0.14439,-0.06014,0.12411,-0.40446,0.60026,-0.34571,-0.59715,
1676701390294224896,0.14146,-0.06175,0.12419,-0.39935,0.60211,-0.34258,-0.60051,
1676701390393403136,0.13992,-0.06292,0.12387,-0.39539,0.60398,-0.33951,-0.60300,
1676701390592317184,0.13693,-0.06472,0.12437,-0.39043,0.60717,-0.33298,-0.60666,
1676701390789410816,0.13391,-0.06637,0.12466,0.38628,-0.60956,0.32708,0.61012,
1676701391486868736,0.13541,-0.06244,0.12280,-0.38400,0.61449,-0.32602,-0.60717,
1676701391685731840,0.13509,-0.06448,0.12162,-0.37669,0.62011,-0.31749,-0.61055,
1676701391884592896,0.13297,-0.06758,0.12233,-0.37003,0.62511,-0.30897,-0.61389,
1676701391983990784,0.13115,-0.07024,0.12248,-0.36665,0.62745,-0.30286,-0.61657,
1676701392182057984,0.12875,-0.07475,0.12251,-0.36505,0.62948,-0.29779,-0.61791,
1676701392381523712,0.12550,-0.08041,0.12330,-0.36037,0.63163,-0.29191,-0.62126,
1676701392479222016,0.12407,-0.08292,0.12362,-0.35734,0.63329,-0.28805,-0.62312,
1676701392580407808,0.12299,-0.08620,0.12305,-0.35370,0.63561,-0.28345,-0.62494,
1676701392680125184,0.12141,-0.08888,0.12185,-0.35187,0.63767,-0.28081,-0.62506,
1676701392779100672,0.11967,-0.09183,0.12087,-0.34882,0.64039,-0.27729,-0.62557,
1676701392878488832,0.11791,-0.09507,0.12097,-0.34593,0.64219,-0.27296,-0.62723,
1676701393027201024,0.11333,-0.10210,0.12038,-0.34070,0.64549,-0.26447,-0.63033,
1676701393276288768,0.10699,-0.11345,0.11749,-0.32711,0.65429,-0.24873,-0.63485,
1676701393326014464,0.10498,-0.11687,0.11664,-0.32514,0.65598,-0.24512,-0.63553,
1676701393375649280,0.10288,-0.12064,0.11617,-0.32198,0.65758,-0.24181,-0.63674,
1676701393475008256,0.09787,-0.12693,0.11521,-0.31628,0.66071,-0.23387,-0.63932,
1676701393574343168,0.09434,-0.12914,0.11505,-0.31221,0.66285,-0.22776,-0.64131,
1676701393673811456,0.09158,-0.13198,0.11506,-0.30742,0.66380,-0.22224,-0.64458,
